date,open,high,low,close,volume,RSI
2017-05-31 14:00:00,1.12332,1.12463,1.12209,1.1246,14625.4902,66.52892561983228
2017-05-31 15:00:00,1.12458,1.12521,1.12304,1.12368,14644.4902,60.60225846925923
2017-05-31 16:00:00,1.12364,1.12381,1.1228,1.12368,7720.7598,59.820857325655176
2017-05-31 17:00:00,1.12366,1.12424,1.1228,1.1239,9220.5303,60.27830487033425
2017-05-31 18:00:00,1.12391,1.12472,1.12346,1.12455,8691.8896,61.637141111789255
2017-05-31 19:00:00,1.12455,1.12467,1.12302,1.12333,9492.5098,55.90027700830979
2017-05-31 20:00:00,1.12336,1.12441,1.12319,1.12431,5015.5898,53.56622998544334
2017-05-31 21:00:00,1.1243,1.12486,1.12406,1.1243,3449.1001,48.52071005917096
2017-05-31 22:00:00,1.12431,1.12431,1.12357,1.12386,3775.1799,47.53623188405865
2017-05-31 23:00:00,1.12385,1.12448,1.12385,1.1239,2548.6399,46.87338501292096
2017-06-01 00:00:00,1.12389,1.12423,1.12335,1.12344,4534.0801,47.38675958188146
2017-06-01 01:00:00,1.12344,1.12552,1.12335,1.12468,6538.6201,43.86617100371698
2017-06-01 02:00:00,1.12468,1.12566,1.12416,1.1242,5596.8599,44.44444444444444
2017-06-01 03:00:00,1.1242,1.12491,1.12373,1.12467,3801.6599,46.23655913978549
2017-06-01 04:00:00,1.12466,1.12476,1.12433,1.12466,3346.99,41.22586062132695
2017-06-01 05:00:00,1.12466,1.12478,1.12374,1.12375,5222.1099,35.431918008784294
2017-06-01 06:00:00,1.12378,1.12487,1.12274,1.12436,8531.9697,37.488869100623255
2017-06-01 07:00:00,1.12435,1.12456,1.1229,1.12324,10429.7998,37.56756756756702
2017-06-01 08:00:00,1.12324,1.12377,1.12231,1.12262,9223.7305,39.62264150943396
2017-06-01 09:00:00,1.12261,1.12369,1.12222,1.12355,9242.1504,41.395218789319074
2017-06-01 10:00:00,1.12354,1.12365,1.12241,1.12276,7189.3701,43.53771504190563
2017-06-01 11:00:00,1.12276,1.12282,1.12167,1.12181,7781.0698,39.46458114002032
2017-06-01 12:00:00,1.12184,1.12246,1.12021,1.12147,14179.8799,44.56521739130358
2017-06-01 13:00:00,1.12146,1.12259,1.12131,1.12216,10406.3799,44.512791835593355
2017-06-01 14:00:00,1.12217,1.12344,1.1216,1.12254,11491.7305,46.430017546229365
2017-06-01 15:00:00,1.12255,1.12258,1.12089,1.12134,9901.6201,43.3194811736579
2017-06-01 16:00:00,1.12134,1.12174,1.12061,1.12096,6876.0801,40.26315789473992
2017-06-01 17:00:00,1.12095,1.12133,1.12068,1.12108,6381.8799,36.54589717886656
2017-06-01 18:00:00,1.12108,1.12193,1.12066,1.12147,7405.52,35.95895360601551
2017-06-01 19:00:00,1.12147,1.12178,1.12109,1.12143,5570.71,42.27458087902441
2017-06-01 20:00:00,1.12141,1.12162,1.12102,1.12122,4198.79,45.225399903057216
2017-06-01 21:00:00,1.12124,1.12166,1.12114,1.12136,1562.78,41.298701298703996
2017-06-01 22:00:00,1.12137,1.12194,1.12133,1.12189,1832.17,44.38221911095826
2017-06-01 23:00:00,1.12188,1.1219,1.12122,1.12128,2797.53,44.49122807017886
2017-06-02 00:00:00,1.12127,1.12179,1.1212,1.12166,4017.0,39.84790874525258
2017-06-02 01:00:00,1.12166,1.1222,1.12155,1.12169,4143.8901,38.27109552300916
2017-06-02 02:00:00,1.1217,1.12201,1.12157,1.12168,2945.25,45.21082135023821
